han	han+Pcle
oassádalaimet	oassádallat+V+IV+Ind+Prt+Pl1

oassádalaime	oassádallat+V+IV+Ind+Prt+Err/Orth+Du1
oassádalaime	oassádallat+V+IV+Ind+Prt+Du1

oasálasttiimet	oasálastit+V+IV+Ind+Prt+Err/Orth+Pl1
oasálasttiimet	oasálastit+V+IV+Ind+Prt+Pl1

oasálasttiiga	oasálastit+V+IV+Ind+Prt+Err/Orth+Du3
oasálasttiiga	oasálastit+V+IV+Ind+Prt+Du3

oasálastet	oasálastit+V+IV+Ind+Prs+Pl3
oasálastet	oasálastit+V+IV+Ind+Prt+Sg2
oasálastet	oasálastit+V+IV+Imprt+Pl2

oasálaste	oasálastit+V+IV+Ind+Prs+Du1
oasálaste	oasálastit+V+IV+Ind+Prt+Pl3

oarpmeliid	oarpmealle+v2+N+Err/Orth+Pl+Acc
oarpmeliid	oarpmealle+v2+N+Err/Orth+Pl+Gen
oarpmeliid	oarpmealle+v2+N+Pl+Acc
oarpmeliid	oarpmealle+v2+N+Pl+Gen
oarpmeliid	oarpmealle+v1+N+Err/Orth+Pl+Acc
oarpmeliid	oarpmealle+v1+N+Err/Orth+Pl+Gen
oarpmeliid	oarpmealle+v1+N+Pl+Acc
oarpmeliid	oarpmealle+v1+N+Pl+Gen

oarpmeali	oarpmealle+v2+N+Sg+Acc
oarpmeali	oarpmealle+v2+N+Sg+Gen


oarjjabealli	oarjjabealli+N+Sg+Nom

oarjjabeallái	oarjjabealli+N+Sg+Ill
oarjjabeallái	oarjjabealli+Err/Orth+N+Sg+Ill
oarjjabeallái	oarjjabeallai+Po
oarjjabeallái	oarjjabeallai+Pr

oarjjabeali	oarjjabealli+N+Sg+Acc
oarjjabeali	oarjjabealli+N+Sg+Gen
oarjjabeali	oarjjabeale+Po
oarjjabeali	oarjjabeale+Pr

oarjjábeal	oarjjábeale+Err/Lex+Po
oarjjábeal	oarjjábeale+Err/Lex+Pr

Oarje-Norgii	Oarje-Norga+N+Prop+Sem/Sur+Sg+Ill
Oarje-Norgii	Oarje-Norga+N+Prop+Sem/Plc+Sg+Ill
Oarje-Norgii	Oarje-Norge+N+Prop+Sem/Sur+Err/Orth+Sg+Ill
Oarje-Norgii	Oarje-Norge+N+Prop+Sem/Plc+Err/Orth+Sg+Ill



Oarjeleappos	oarjeleappos+Adv


Oarje-Báidáris	Oarje-Báidár+N+Prop+Sem/Plc+Sg+Loc
Oarje-Báidáris	Oarje-Báidár+N+Prop+Sem/Sur+Sg+Loc

oarbinat	oarbinat+N+Pl+Nom


oaraid	oarra+N+Err/Orth+Pl+Acc
oaraid	oarra+N+Err/Orth+Pl+Gen
oaraid	oarra+N+Pl+Acc
oaraid	oarra+N+Pl+Gen

Oappážagat	oappážagat+N+Pl+Nom

oappážagaiguin	oappážagat+N+Err/Orth+Pl+Com
oappážagaiguin	oappážagat+N+Pl+Com

oapmaniin	oapman+N+Pl+Loc
oapmaniin	oapman+N+Sg+Com
oapmaniin	oama+N+Pl+Loc
oapmaniin	oama+N+Sg+Com

oapmaniidda	oapman+N+Pl+Ill
oapmaniidda	oama+N+Pl+Ill

oapmanii	oapman+N+Sg+Ill
oapmanii	oama+N+Sg+Ill

oapmanat	oapman+N+Pl+Nom
oapmanat	oama+N+Pl+Nom

oapmahaččaide	oapmahaš+N+Pl+Ill
oapmahaččaide	oapmahaš+N+Err/Orth+Pl+Ill

oanui	oatnut+V+IV+Ind+Prt+Sg3
oanui	oatnut+V+IV+Ind+Prt+Err/Orth+Sg3

oanošii	oatnut+V+IV+Cond+Prs+Err/Orth+Sg3

oanibut	oatni+A+Comp+Pl+Nom


oanehisáigásaš	oanehisáigásaš+A+Sg+Nom
oanehisáigásaš	oanehisáigásaš+A+Attr

oamedovdui	oamedovdu+N+Sg+Ill
oamedovdui	oamedovdu+N+Err/Orth+Sg+Ill


oamedovddun	oamedovdu+N+Sg+Loc+South+Err/Orth

oamedovdduin	oamedovdu+N+Err/Orth+Pl+Loc
oamedovdduin	oamedovdu+N+Err/Orth+Sg+Com
oamedovdduin	oamedovdu+N+Pl+Loc
oamedovdduin	oamedovdu+N+Sg+Com

Oamedovddolaš	oamedovddolaš+A+Sg+Nom
Oamedovddolaš	oamedovddolaš+A+Attr

oambeliin	oambealle+v2+N+Err/Orth+Pl+Loc
oambeliin	oambealle+v2+N+Err/Orth+Sg+Com
oambeliin	oambealle+v2+N+Pl+Loc
oambeliin	oambealle+v2+N+Sg+Com
oambeliin	oambealle+v1+N+Err/Orth+Pl+Loc
oambeliin	oambealle+v1+N+Err/Orth+Sg+Com
oambeliin	oambealle+v1+N+Pl+Loc
oambeliin	oambealle+v1+N+Sg+Com


oambeležat	oambeležat+N+Pl+Nom



Oallot	oallut+V+TV+Imprt+Pl2
Oallot	oallut+V+TV+Imprt+Pl1+Err/Orth

oalgguhusa	oalgguhus+N+Sg+Acc
oalgguhusa	oalgguhus+N+Sg+Gen

oaju	oadju+N+Sg+Acc
oaju	oadju+N+Sg+Gen
oaju	oadjut+V+IV+VGen



oaivámušain	oaivámuš+Err/Orth+N+Pl+Loc
oaivámušain	oaivámuš+Err/Orth+N+Sg+Com
oaivámušain	oaivámuš+Err/Orth+N+Err/Orth+Pl+Loc
oaivámušain	oaivámuš+Err/Orth+N+Err/Orth+Sg+Com

oaivámuš	oaivámuš+Err/Orth+N+Sg+Nom
oaivámuš	oaivámuš+N+Sg+Nom

Oaivámuš	oaivámuš+Err/Orth+N+Sg+Nom
Oaivámuš	oaivámuš+N+Sg+Nom


oainnusindahket	oainnusindahkat+V+TV+Ind+Prs+Pl3
oainnusindahket	oainnusindahkat+V+TV+Ind+Prt+Sg2
oainnusindahket	oainnusindahkat+V+TV+Imprt+Pl2

oainnusindahkat	oainnusindahkat+V+TV+Inf
oainnusindahkat	oainnusindahkat+V+TV+Ind+Prs+Pl1

Oainna	oainna+Adv

oaidninváttuid	oaidninváddu+N+Err/Orth+Pl+Acc
oaidninváttuid	oaidninváddu+N+Err/Orth+Pl+Gen
oaidninváttuid	oaidninváddu+N+Pl+Acc
oaidninváttuid	oaidninváddu+N+Pl+Gen



oaidnemeahttumiid	oaidnemeahttun+A+Pl+Acc
oaidnemeahttumiid	oaidnemeahttun+A+Pl+Gen

oahppováillagat	oahppováillat+A+Pl+Nom



oahppoplánadahkosiin	oahppoplánadagus+N+Pl+Loc
oahppoplánadahkosiin	oahppoplánadagus+N+Sg+Com

oahppoplánabuktosa	oahppoplánabuvttus+N+Sg+Acc
oahppoplánabuktosa	oahppoplánabuvttus+N+Sg+Gen



oahppolánas	oahppolátna+N+Sg+Loc


oahppofitnodat	oahppofitnodat+N+Sg+Nom

oahppodahkosiid	oahppodagus+N+Pl+Acc
oahppodahkosiid	oahppodagus+N+Pl+Gen







oahppaneavvuid	oahppaneavvu+N+G3+Err/Orth+Pl+Acc
oahppaneavvuid	oahppaneavvu+N+G3+Err/Orth+Pl+Gen
oahppaneavvuid	oahppaneavvu+N+G3+Pl+Acc
oahppaneavvuid	oahppaneavvu+N+G3+Pl+Gen

oahppandihtii	oahppan dihte+Err/Orth+Adv

oahppalattaiga	oahppaladdat+V+TV+Ind+Prt+Err/Orth+Du3
oahppalattaiga	oahppaladdat+V+TV+Ind+Prt+Du3


















oahpahusmodeallat	oahpahusmodealla+N+G3+Pl+Nom

oahpahusmodeallas	oahpahusmodealla+N+G3+Sg+Loc

oahpahusmodeallaide	oahpahusmodealla+N+G3+Pl+Ill
oahpahusmodeallaide	oahpahusmodealla+N+G3+Err/Orth+Pl+Ill

oahpahusmodeallaid	oahpahusmodealla+N+G3+Pl+Acc
oahpahusmodeallaid	oahpahusmodealla+N+G3+Pl+Gen
oahpahusmodeallaid	oahpahusmodealla+N+G3+Err/Orth+Pl+Acc
oahpahusmodeallaid	oahpahusmodealla+N+G3+Err/Orth+Pl+Gen








oahpaheaibeavddi	oahpaheaibeavdi+N+Sg+Acc
oahpaheaibeavddi	oahpaheaibeavdi+N+Sg+Gen




Oahpaheaddjiváilevuohta	oahpaheaddjeváilevuohta+Err/Orth+N+Sg+Nom






oahpahanmodealla	oahpahanmodealla+N+G3+Sg+Nom
oahpahanmodealla	oahpahanmodealla+N+G3+Sg+Acc
oahpahanmodealla	oahpahanmodealla+N+G3+Sg+Gen

oahpahanmeašttir	oahpahanmeašttir+N+Sg+Nom





oaffaruššan	oaffaruš+N+Ess
oaffaruššan	oaffaruššat+V+TV+PrfPrc
oaffaruššan	oaffaruššat+V+TV+Actio+Gen
oaffaruššan	oaffaruššat+V+TV+Actio+Nom
oaffaruššan	oaffaruššat+V+TV+Ind+Prt+ConNeg



oaffarrolla	oaffarrolla+N+G3+Sg+Nom
oaffarrolla	oaffarrolla+N+G3+Sg+Acc
oaffarrolla	oaffarrolla+N+G3+Sg+Gen


oadjoruđain	oadjoruhta+N+Err/Orth+Pl+Loc
oadjoruđain	oadjoruhta+N+Err/Orth+Sg+Com
oadjoruđain	oadjoruhta+N+Pl+Loc
oadjoruđain	oadjoruhta+N+Sg+Com

oadjoruđaid	oadjoruhta+N+Err/Orth+Pl+Acc
oadjoruđaid	oadjoruhta+N+Err/Orth+Pl+Gen
oadjoruđaid	oadjoruhta+N+Pl+Acc
oadjoruđaid	oadjoruhta+N+Pl+Gen

oadjoortnegiid	oadjoortnet+N+Pl+Acc
oadjoortnegiid	oadjoortnet+N+Pl+Gen

oadjokássa	oadjokássa+N+G3+Sg+Nom
oadjokássa	oadjokássa+N+G3+Sg+Acc
oadjokássa	oadjokássa+N+G3+Sg+Gen

oadjohoavda	oadjohoavda+N+Sg+Nom

oađđinseahkas	oađđenseahkka+v2+N+Sg+Loc

oađđinseahka	oađđenseahkka+v2+N+Sg+Acc
oađđinseahka	oađđenseahkka+v2+N+Sg+Gen

oađđinsálet	oađđinsále+N+Pl+Nom

oađđinsálat	oađđinsálla+N+Pl+Nom

oađđinsála	oađđinsálla+N+Sg+Acc
oađđinsála	oađđinsálla+N+Sg+Gen

oađđinsadji	oađđensadji+N+Sg+Nom


oađđimin	oađđin+N+Ess
oađđimin	oađđin+N+Sg+Loc+South+Err/Orth
oađđimin	oađđit+V+IV+Actio+Ess

oađđime	oađđit+V+IV+Actio+Ess

oađđima	oađđin+N+Sg+Acc
oađđima	oađđin+N+Sg+Gen

oađđenseahkaid	oađđenseahkka+v1+N+Err/Orth+Pl+Acc
oađđenseahkaid	oađđenseahkka+v1+N+Err/Orth+Pl+Gen
oađđenseahkaid	oađđenseahkka+v1+N+Pl+Acc
oađđenseahkaid	oađđenseahkka+v1+N+Pl+Gen

oađđensálaide	oađđensálla+N+Err/Orth+Pl+Ill
oađđensálaide	oađđensálla+N+Pl+Ill

oađđáladdat	oađđáladdat+V+IV+Inf
oađđáladdat	oađđáladdat+V+IV+Ind+Prs+Pl1

oaččostuva	oaččostuvvat+V+TV+VGen
oaččostuva	oaččostuvvat+V+TV+Imprt+ConNeg
oaččostuva	oaččostuvvat+V+TV+Imprt+Sg2
oaččostuva	oaččostuvvat+V+TV+Ind+Prs+ConNeg

O97	O97+Num+Arab+Sg+Acc
O97	O97+Num+Arab+Sg+Gen
O97	O97+Num+Arab+Sg+Nom
O97	O97+Num+Arab+Sg+Ill+Attr
O97	O97+Num+Arab+Sg+Loc+Attr
O97	O97+N+ACR+Sg+Acc
O97	O97+N+ACR+Sg+Gen
O97	O97+N+ACR+Sg+Nom

nuvvat	nuvvat+V+TV+Inf
nuvvat	nuvvat+V+TV+Ind+Prs+Pl1

nuvttohiidda	nuvttot+N+Pl+Ill

nuvkkihii	nuvkkihit+V+IV+Ind+Prt+Sg3

Nuppevuoru	nuppevuorru+N+Sg+Acc
Nuppevuoru	nuppevuorru+N+Sg+Gen

Nuppelot	nuppelohkái+Num+Sg+Attr
Nuppelot	nubbelohki+Num+Sg+Gen+Attr
Nuppelot	nubbelohki+Num+Sg+Ill+Attr
Nuppelot	nubbelohki+Num+Sg+Loc+Attr

nuppelohkái	nuppelohkái+Num+Sg+Acc
nuppelohkái	nuppelohkái+Num+Sg+Ill
nuppelohkái	nuppelohkái+Num+Sg+Nom
nuppelohkái	nubbelohki+Num+Sg+Ill

nuppeláhkai	nuppe láhkai+Err/Orth+Adv

nuppeláganat	nuppelágan+v1+A+Pl+Nom

nuppeládje	nuppe ládje+Err/Orth+Adv

nuppegežiid	nuppegežiid+Adv



nuppádassii	nuppádas+N+Sg+Ill
nuppádassii	nuppádassii+Adv

nuoskideami	nuoskideapmi+N+Sg+Acc
nuoskideami	nuoskideapmi+N+Sg+Gen

nuorvvu	nuorvu+N+Sg+Nom
nuorvvu	nuorvu+N+Sg+Acc
nuorvvu	nuorvu+N+Sg+Gen

Nuorttanastes	Nuorttanaste+N+Prop+Sem/Obj+Sg+Loc

Nuorttabealli	nuorttabealli+N+Sg+Nom

nuorttabealis	nuorttabealli+N+Sg+Loc

nuorttabeali	nuorttabealli+N+Sg+Acc
nuorttabeali	nuorttabealli+N+Sg+Gen
nuorttabeali	nuorttabeale+Po
nuorttabeali	nuorttabeale+Pr

nuorttabeale	nuorttabealli+Err/Orth+N+Sg+Acc
nuorttabeale	nuorttabealli+Err/Orth+N+Sg+Gen
nuorttabeale	nuorttabeale+Po
nuorttabeale	nuorttabeale+Pr
nuorttabeale	nuorttabeale+Adv

nuortalašgielagat	nuortalašgielat+A+Pl+Nom

nuoraidpsykiátralaš	nuoraidpsykiátralaš+A+Sg+Nom
nuoraidpsykiátralaš	nuoraidpsykiátralaš+A+Attr

nuoraidfitnodagaid	nuoraidfitnodat+N+Pl+Acc
nuoraidfitnodagaid	nuoraidfitnodat+N+Pl+Gen
nuoraidfitnodagaid	nuoraidfitnodat+N+Err/Orth+Pl+Acc
nuoraidfitnodagaid	nuoraidfitnodat+N+Err/Orth+Pl+Gen



nummarasttiime	nummarastit+V+TV+Ind+Prt+Err/Orth+Du1
nummarasttiime	nummarastit+V+TV+Ind+Prt+Du1

Numedalas	Numedal+N+Prop+Sem/Sur+Sg+Loc
Numedalas	Numedal+N+Prop+Sem/Plc+Sg+Loc

Numedala	Numedal+N+Prop+Sem/Sur+Sg+Acc
Numedala	Numedal+N+Prop+Sem/Sur+Sg+Gen
Numedala	Numedal+N+Prop+Sem/Plc+Sg+Acc
Numedala	Numedal+N+Prop+Sem/Plc+Sg+Gen

nugohčoduvvon	nu gohčoduvvon+Err/Orth+A+Attr
nugohčoduvvon	nu gohčoduvvon+Err/Orth+A+Sg+Nom
nugohčoduvvon	nu gohčoduvvon+Err/Orth+A+Pl+Nom

Nubbingielagiidda	nubbingielat+A+Pl+Ill

nubbeláhkái	nuppe láhkai+Err/Orth+Adv


noveallačoakkáldat	noveallačoakkáldat+N+Sg+Nom

Novaja	Novaja+N+Prop+Sem/Sur+Attr
Novaja	Novaja+N+Prop+Sem/Sur+Sg+Acc
Novaja	Novaja+N+Prop+Sem/Sur+Sg+Gen
Novaja	Novaja+N+Prop+Sem/Sur+Sg+Nom
Novaja	Novaja+N+Prop+Sem/Plc+Attr
Novaja	Novaja+N+Prop+Sem/Plc+Sg+Acc
Novaja	Novaja+N+Prop+Sem/Plc+Sg+Gen
Novaja	Novaja+N+Prop+Sem/Plc+Sg+Nom

notkkai	notkat+V+TV+Ind+Prt+Sg3
notkkai	notkat+V+TV+Ind+Prt+Err/Orth+Sg3


norpmaid	norbma+N+Err/Orth+Pl+Acc
norpmaid	norbma+N+Err/Orth+Pl+Gen
norpmaid	norbma+N+Pl+Acc
norpmaid	norbma+N+Pl+Gen

Norggameašttirgilvvus	norggameašttirgilvu+N+Sg+Loc



norggabeallái	norggabealli+N+Sg+Ill
norggabeallái	norggabealli+Err/Orth+N+Sg+Ill

norgalaččatge	norgalaš+N+Pl+Nom+Foc/Pos-ge
norgalaččatge	norgalaš+N+Pl+Nom+Foc/Neg-ge
norgalaččatge	norgalaš+A+Pl+Nom+Foc/Pos-ge
norgalaččatge	norgalaš+A+Pl+Nom+Foc/Neg-ge

norgalaččain	norgalaš+N+Pl+Loc
norgalaččain	norgalaš+N+Sg+Com
norgalaččain	norgalaš+N+Err/Orth+Pl+Loc
norgalaččain	norgalaš+N+Err/Orth+Sg+Com
norgalaččain	norgalaš+A+Pl+Loc+Err/Orth
norgalaččain	norgalaš+A+Pl+Loc
norgalaččain	norgalaš+A+Sg+Com+Err/Orth
norgalaččain	norgalaš+A+Sg+Com

norgalaččaiguin	norgalaš+N+Pl+Com
norgalaččaiguin	norgalaš+N+Err/Orth+Pl+Com
norgalaččaiguin	norgalaš+A+Pl+Com
norgalaččaiguin	norgalaš+A+Pl+Com+Err/Orth

nomádaeallimii	nomádaeallin+N+Sg+Ill

nohkkanlatnjii	nohkkanlatnja+N+Sg+Ill

nohkkanlanja	nohkkanlatnja+N+Sg+Acc
nohkkanlanja	nohkkanlatnja+N+Sg+Gen

nohkkanláhkai	nohkkan láhkai+Err/Orth+Adv

nohkkanáigi	nohkkanáigi+N+Sg+Nom

Nohkkanáigi	nohkkanáigi+N+Sg+Nom

nohkkanáiggi	nohkkanáigi+N+Sg+Acc
nohkkanáiggi	nohkkanáigi+N+Sg+Gen

nohkkame	nohkkat+V+IV+Actio+Ess


nohkama	nohkan+N+Sg+Acc
nohkama	nohkan+N+Sg+Gen

nohkaime	nohkkat+V+IV+Ind+Prt+Err/Orth+Du1
nohkaime	nohkkat+V+IV+Ind+Prt+Du1

nohkai	nohkkat+V+IV+Ind+Prt+Sg3
nohkai	nohkkat+V+IV+Ind+Prt+Err/Orth+Sg3


Nogen	no+Adv+Foc/gen

nođiin	noađđi+N+Err/Orth+Pl+Loc
nođiin	noađđi+N+Err/Orth+Sg+Com
nođiin	noađđi+N+Pl+Loc
nođiin	noađđi+N+Sg+Com

nođiid	noađđi+N+Err/Orth+Pl+Acc
nođiid	noađđi+N+Err/Orth+Pl+Gen
nođiid	noađđi+N+Pl+Acc
nođiid	noađđi+N+Pl+Gen

noaidevuohta	noaidevuohta+N+Sg+Nom


noaidevuođa	noaidevuohta+N+Sg+Acc
noaidevuođa	noaidevuohta+N+Sg+Gen

noaiddástalle	noaiddástallat+V+IV+Ind+Prs+Du1
noaiddástalle	noaiddástallat+V+IV+Ind+Prt+Pl3

noahkut	noahkut+V+TV+Inf
noahkut	noahkut+V+TV+Ind+Prs+Pl1

noađđeherggiid	noađđeheargi+N+Err/Orth+Pl+Acc
noađđeherggiid	noađđeheargi+N+Err/Orth+Pl+Gen
noađđeherggiid	noađđeheargi+N+Pl+Acc
noađđeherggiid	noađđeheargi+N+Pl+Gen

noađđeguoddi	noađđeguoddi+N+NomAg+Sg+Acc
noađđeguoddi	noađđeguoddi+N+NomAg+Sg+Gen
noađđeguoddi	noađđeguoddi+N+NomAg+Sg+Nom

no	no+Pcle
no	no+Adv

No	no+Pcle
No	no+Adv

NLH	NLH+N+ACR+Sg+Acc
NLH	NLH+N+ACR+Sg+Gen
NLH	NLH+N+ACR+Sg+Nom

NKS	NKS+N+ACR+Sg+Acc
NKS	NKS+N+ACR+Sg+Gen
NKS	NKS+N+ACR+Sg+Nom

njusket	njuoskat+V+IV+Ind+Prs+Pl3
njusket	njuoskat+V+IV+Ind+Prt+Sg2
njusket	njuoskat+V+IV+Imprt+Pl2

njuske	njuoskat+V+IV+Ind+Prs+Du1
njuske	njuoskat+V+IV+Ind+Prt+Pl3

njurgii	njurget+V+IV+Ind+Prt+Sg3

njurgganasaid	njurgganas+N+Pl+Acc
njurgganasaid	njurgganas+N+Pl+Gen
njurgganasaid	njurgganas+N+Err/Orth+Pl+Acc
njurgganasaid	njurgganas+N+Err/Orth+Pl+Gen

njurgganas	njurgganas+N+Sg+Nom

njuovžil	njuovžil+A+Sg+Nom
njuovžil	njuovžil+A+Sg+Acc+Err/Orth
njuovžil	njuovžil+A+Sg+Gen+Err/Orth

njuovahahkii	njuovahat+N+Sg+Ill

njuovahagas	njuovahat+N+Sg+Loc

njuovahagain	njuovahat+N+Pl+Loc
njuovahagain	njuovahat+N+Sg+Com
njuovahagain	njuovahat+N+Err/Orth+Pl+Loc
njuovahagain	njuovahat+N+Err/Orth+Sg+Com

njuoskan	njuoskat+V+IV+PrfPrc
njuoskan	njuoskat+V+IV+Actio+Gen
njuoskan	njuoskat+V+IV+Actio+Nom
njuoskan	njuoskat+V+IV+Ind+Prt+ConNeg

njuorjju	njuorju+N+Sg+Acc
njuorjju	njuorju+N+Sg+Gen
njuorjju	njuorjju+N+Sg+Nom

njuolgguslaččat	njuolgguslaččat+Adv
njuolgguslaččat	njuolgguslaš+A+Pl+Nom
njuolgguslaččat	njuolgguslaš+A+Comp+Attr
njuolgguslaččat	njuolgguslaš+A+Comp+Sg+Nom


njuolggogeaidnun	njuolggogeaidnu+N+Ess

njuolggalačča	njuolggalaš+A+Sg+Acc
njuolggalačča	njuolggalaš+A+Sg+Gen

njuolastit	njuolastit+V+IV+Inf
njuolastit	njuolastit+V+IV+Ind+Prs+Pl1
njuolastit	njuolastit+V+IV+Ind+Prs+Pl3
njuolastit	njuolastit+V+IV+Ind+Prt+Sg2

njuohtasii	njuohtasit+V+IV+Ind+Prt+Sg3



Njuohtan	njuohtat+V+TV+PrfPrc
Njuohtan	njuohtat+V+TV+Actio+Gen
Njuohtan	njuohtat+V+TV+Actio+Nom
Njuohtan	njuohtat+V+TV+Ind+Prt+ConNeg


njuohkánit	njuohkánit+V+IV+Inf
njuohkánit	njuohkánit+V+IV+Ind+Prt+Sg2
njuohkánit	njuohkánit+V+IV+Ind+Prs+Pl1
njuohkánit	njuohkánit+V+IV+Ind+Prs+Pl3

njunnálaga	njunnálaga+Adv

njunis	njunni+N+Sg+Loc
njunis	njunis+N+Sg+Nom

njuni	njunni+N+Sg+Acc
njuni	njunni+N+Sg+Gen

njulgii	njulget+V+TV+Ind+Prt+Sg3



Njulgestaga	njulgestaga+Adv


njulgemin	njulgen+N+Ess
njulgemin	njulget+V+TV+Actio+Ess

njulgema	njulgen+N+Sg+Acc
njulgema	njulgen+N+Sg+Gen

njuikun	njuikun+N+Sg+Gen
njuikun	njuikun+N+Sg+Nom
njuikun	njuikut+V+TV+Actio+Gen
njuikun	njuikut+V+TV+Actio+Nom

Njuikumiin	njuikun+N+Pl+Loc
Njuikumiin	njuikun+N+Sg+Com
Njuikumiin	njuikut+V+TV+Actio+Com

njuiku	njuikut+V+TV+PrsPrc
njuiku	njuikut+V+TV+Imprt+Du1
njuiku	njuikut+V+TV+Imprt+Du2
njuiku	njuikut+V+TV+Ind+Prs+Sg3

njuiko	njuikut+V+TV+ConNegII
njuiko	njuikut+V+TV+Ind+Prs+Du1
njuiko	njuikut+V+TV+Ind+Prt+Pl3

njuikkuimet	njuikut+V+TV+Ind+Prt+Err/Orth+Pl1
njuikkuimet	njuikut+V+TV+Ind+Prt+Pl1


Njuikejin	njuiket+V+IV+Ind+Prt+Sg1

njuikejedje	njuiket+V+IV+Ind+Prt+Pl3

njuikejeaddji	njuiket+V+IV+PrsPrc

njuikeje	njuiket+V+IV+Ind+Prs+Du1+Err/Orth
njuikeje	njuiket+V+IV+Ind+Prt+Pl3

njuikehaga	njuikehat+N+Sg+Acc
njuikehaga	njuikehat+N+Sg+Gen
njuikehaga	njuiket+V+IV+VAbess

njuike	njuiket+V+IV+VGen
njuike	njuiket+V+IV+Imprt+ConNeg
njuike	njuiket+V+IV+Imprt+Sg2
njuike	njuiket+V+IV+Ind+Prs+ConNeg
njuike	njuiket+V+IV+Ind+Prs+Sg3

njozoniin	njozon+N+Pl+Loc
njozoniin	njozon+N+Sg+Com

njohcon	njoahcut+V+TV+PrfPrc
njohcon	njoahcut+V+TV+Ind+Prt+ConNeg
njohcon	njoahcut+V+TV+Ind+Prt+Sg1
njohcon	njoahcut+V+TV+Imprt+Sg1
njohcon	njohcut+V+TV+PrfPrc
njohcon	njohcut+V+TV+Ind+Prt+ConNeg
njohcon	njohcut+V+TV+Ind+Prt+Sg1
njohcon	njohcut+V+TV+Imprt+Sg1

njođahassan	njođahas+N+Ess

njoarrat	njoarrat+V+TV+Inf
njoarrat	njoarrat+V+TV+Ind+Prs+Pl1

njoarosteimmet	njoarostit+V+TV+Ind+Prt+Pl1

njoarosteapmi	njoarosteapmi+N+Sg+Nom

Njoarosteapmi	njoarosteapmi+N+Sg+Nom

njoarosteamen	njoarostit+V+TV+Actio+Ess

njoaluimet	njoallut+V+TV+Ind+Prt+Err/Orth+Pl1
njoaluimet	njoallut+V+TV+Ind+Prt+Pl1


njivke	njivkit+V+IV+Ind+Prs+Du1
njivke	njivkit+V+IV+Ind+Prt+Pl3

njiellamis	njiellat+V+TV+Actio+Loc

njielahaga	njielahat+N+Sg+Acc
njielahaga	njielahat+N+Sg+Gen
njielahaga	njiellat+V+TV+VAbess

njieja	njiedja+N+Sg+Acc
njieja	njiedja+N+Sg+Gen
njieja	njiedjat+V+IV+VGen
njieja	njiedjat+V+IV+Imprt+ConNeg
njieja	njiedjat+V+IV+Imprt+Sg2
njieja	njiedjat+V+IV+Ind+Prs+ConNeg

njiedjamin	njiedjan+N+Ess
njiedjamin	njiedjat+V+IV+Actio+Ess

njiedjá	njiedjat+V+IV+Ind+Prs+Sg3

njidje	njiedjat+V+IV+Ind+Prs+Du1
njidje	njiedjat+V+IV+Ind+Prt+Pl3

njezzo	njeazzut+V+IV+ConNegII
njezzo	njeazzut+V+IV+Ind+Prs+Du1
njezzo	njeazzut+V+IV+Ind+Prt+Pl3

njelljii	njelljii+Adv

njelješjovkui	njelješjoavku+N+Sg+Ill

Njelješjoavku	njelješjoavku+N+Sg+Nom

njealljenuppelohkái	njealljenuppelohkái+Num+Sg+Acc
njealljenuppelohkái	njealljenuppelohkái+Num+Sg+Nom

Njealljenuppelohkái	njealljenuppelohkái+Num+Sg+Acc
Njealljenuppelohkái	njealljenuppelohkái+Num+Sg+Nom

njealljelogivihtta	njealljelogivihtta+Num+Sg+Acc
njealljelogivihtta	njealljelogivihtta+Num+Sg+Nom

njealljejuvllat	njealjejuvllat+Err/Orth+A+Sg+Nom
njealljejuvllat	njealjejuvllat+Err/Orth+A+Sg+Acc+Err/Orth
njealljejuvllat	njealjejuvllat+Err/Orth+A+Sg+Gen+Err/Orth
njealljejuvllat	njealjejuvllat+Err/Orth+A+Attr

njeallječiegat	njeallječiehka+N+Pl+Nom

Njealjenuppelotjahkásažžan	njealjenuppelotjahkásaš+A+Ess

njealječiegagin	njealječiegat+N+Ess+Err/Orth
njealječiegagin	njealječiegat+N+Ess
njealječiegagin	njealječiegat+A+Ess

Njealjádassii	njealjádas+N+Sg+Ill
Njealjádassii	njealjádassii+Adv

njealjádasmehter	njealjádasmehter+N+Sg+Acc+Err/Orth
njealjádasmehter	njealjádasmehter+N+Sg+Gen+Err/Orth
njealjádasmehter	njealjádasmehter+N+Sg+Nom

njeaccui	njeazzut+V+IV+Ind+Prt+Sg3
njeaccui	njeazzut+V+IV+Ind+Prt+Err/Orth+Sg3


njáskkahagat	njáskkahat+N+Pl+Nom

njáskkahaga	njáskkahat+N+Sg+Acc
njáskkahaga	njáskkahat+N+Sg+Gen
njáskkahaga	njáskat+V+TV+VAbess

njáskat	njáskat+V+TV+Inf
