han	han+Pcle
sihte	sihtat+V+TV+Ind+Prs+Du1
sihte	sihtat+V+TV+Ind+Prt+Pl3

Medalen	Medalen+Err/Orth+N+Prop+Sem/Sur+Sg+Acc
Medalen	Medalen+Err/Orth+N+Prop+Sem/Sur+Sg+Gen
Medalen	Medalen+Err/Orth+N+Prop+Sem/Sur+Sg+Nom
Medalen	Medalen+Err/Orth+N+Prop+Sem/Plc+Sg+Acc
Medalen	Medalen+Err/Orth+N+Prop+Sem/Plc+Sg+Gen
Medalen	Medalen+Err/Orth+N+Prop+Sem/Plc+Sg+Nom
Medalen	Medalen+N+Prop+Sem/Sur+Attr
Medalen	Medalen+N+Prop+Sem/Sur+Sg+Nom
Medalen	Medalen+N+Prop+Sem/Plc+Attr
Medalen	Medalen+N+Prop+Sem/Plc+Sg+Nom

mearkkašahtti	mearkkašahtti+Adv
mearkkašahtti	mearkkašahtti+A+Attr
mearkkašahtti	mearkkašahtti+A+Sg+Acc
mearkkašahtti	mearkkašahtti+A+Sg+Gen
mearkkašahtti	mearkkašahtti+A+Sg+Nom
mearkkašahtti	mearkkašahttit+V+TV+PrsPrc
mearkkašahtti	mearkkašahttit+V+TV+Imprt+Du2

maŋŋelis	maŋŋelis+Adv
maŋŋelis	maŋŋelis+Err/Lex+Po

imašlaš	imašlaš+A+Attr
imašlaš	imašlaš+A+Sg+Nom

hoallat	hoallat+V+TV+Inf
hoallat	hoallat+V+TV+Ind+Prs+Pl1

goittot	goittot+Pcle

geavai	geavvat+V+IV+Ind+Prt+Sg3
geavai	geavvat+V+IV+Ind+Prt+Err/Orth+Sg3

gárte	gártat+V+IV+Ind+Prs+Du1
gárte	gártat+V+IV+Ind+Prt+Pl3
gárte	gártet+V+TV+VGen
gárte	gártet+V+TV+Imprt+ConNeg
gárte	gártet+V+TV+Imprt+Sg2
gárte	gártet+V+TV+Ind+Prs+ConNeg
gárte	gártet+V+TV+Ind+Prs+Sg3

eváhko	eváhkku+Err/Orth+N+Sg+Acc
eváhko	eváhkku+Err/Orth+N+Sg+Gen

eanu	eanu+N+Sg+Nom
eanu	eatnu+N+Sg+Acc
eanu	eatnu+N+Sg+Gen

davábealde	davábealde+Po
davábealde	davábealde+Pr
davábealde	davábealde+Adv

beannot	beannot+Num+Sg+Acc
beannot	beannot+Num+Sg+Gen
beannot	beannot+Num+Sg+Nom
beannot	beannot+Num+Sg+Com+Attr
beannot	beannot+Num+Sg+Ill+Attr
beannot	beannot+Num+Sg+Loc+Attr

Badjemánáid	badjemánná+N+Err/Orth+Pl+Acc
Badjemánáid	badjemánná+N+Err/Orth+Pl+Gen
Badjemánáid	badjemánná+N+Pl+Acc
Badjemánáid	badjemánná+N+Pl+Gen


uhcán	uhcán+Adv

skuvlainspektevra	skuvlainspektevra+N+Sg+Nom

siskkit	siski+N+Pl+Nom
siskkit	siskkit+A+Comp+Attr
siskkit	siskkit+A+Comp+Sg+Nom
siskkit	siskkidit+V+TV+Imprt+ConNeg
siskkit	siskkidit+V+TV+Imprt+Sg2
siskkit	siskkidit+V+TV+Ind+Prs+ConNeg

ovdagáttuid	ovdagáddu+N+Err/Orth+Pl+Acc
ovdagáttuid	ovdagáddu+N+Err/Orth+Pl+Gen
ovdagáttuid	ovdagáddu+N+Pl+Acc
ovdagáttuid	ovdagáddu+N+Pl+Gen

ollašuvvan	ollašuvvat+V+IV+PrfPrc
ollašuvvan	ollašuvvat+V+IV+Actio+Gen
ollašuvvan	ollašuvvat+V+IV+Actio+Nom
ollašuvvan	ollašuvvat+V+IV+Ind+Prt+ConNeg

Nordback	Nordback+N+Prop+Sem/Sur+Attr
Nordback	Nordback+N+Prop+Sem/Sur+Sg+Acc
Nordback	Nordback+N+Prop+Sem/Sur+Sg+Gen
Nordback	Nordback+N+Prop+Sem/Sur+Sg+Nom

nasisttat	nasista+N+Pl+Nom

Haaheim	Haaheim+N+Prop+Sem/Sur+Attr
Haaheim	Haaheim+N+Prop+Sem/Sur+Sg+Acc
Haaheim	Haaheim+N+Prop+Sem/Sur+Sg+Nom
Haaheim	Haaheim+N+Prop+Sem/Sur+Sg+Gen

gen	gen+Pcle

duiskalaččaid	duiskalaš+N+Pl+Acc
duiskalaččaid	duiskalaš+N+Pl+Gen
duiskalaččaid	duiskalaš+N+Err/Orth+Pl+Acc
duiskalaččaid	duiskalaš+N+Err/Orth+Pl+Gen
duiskalaččaid	duiskalaš+A+Pl+Acc+Err/Orth
duiskalaččaid	duiskalaš+A+Pl+Acc
duiskalaččaid	duiskalaš+A+Pl+Gen+Err/Orth
duiskalaččaid	duiskalaš+A+Pl+Gen

dovddu	dovdu+N+Sg+Acc
dovddu	dovdu+N+Sg+Gen

deaivan	deaivan+N+Sg+Gen
deaivan	deaivan+N+Sg+Nom
deaivan	deaivat+V+TV+PrfPrc
deaivan	deaivat+V+TV+Actio+Gen
deaivan	deaivat+V+TV+Actio+Nom
deaivan	deaivat+V+TV+Ind+Prt+ConNeg

dakka	dakka+Adv

beanta	beanta+Adv

bálkálasáhusa	bálkálasáhus+N+Sg+Acc
bálkálasáhusa	bálkálasáhus+N+Sg+Gen

badjeolbmuid	badjeolmmoš+N+Pl+Acc
badjeolbmuid	badjeolmmoš+N+Pl+Gen

badjelmearálaš	badjelmearálaš+A+Sg+Nom
badjelmearálaš	badjelmearálaš+A+Attr

vuosttamuš	vuosttamuš+A+Superl+Attr
vuosttamuš	vuosttamuš+A+Superl+Sg+Nom

vuostálasvuođat	vuostálasvuohta+N+Pl+Nom

vuostálastin	vuostálasti+N+NomAg+Sg+Loc+South+Err/Orth
vuostálastin	vuostálasti+N+NomAg+Ess
vuostálastin	vuostálastin+N+Sg+Gen
vuostálastin	vuostálastin+N+Sg+Nom
vuostálastin	vuostálastit+V+TV+Actio+Gen
vuostálastin	vuostálastit+V+TV+Actio+Nom

várrogasat	várrogas+A+Pl+Nom
várrogasat	várrogas+A+Comp+Attr
várrogasat	várrogas+A+Comp+Sg+Nom
várrogasat	várrogas+A+Pl+Nom
várrogasat	várrugasat+Adv

skuvllot	skuvllot+N+Sg+Nom
skuvllot	skuvllot+N+Sg+Acc+Err/Orth
skuvllot	skuvllot+N+Sg+Gen+Err/Orth

Skolen	skolet+V+IV+PrfPrc
Skolen	skolet+V+IV+Ind+Prs+Sg1
Skolen	skolet+V+IV+Actio+Gen
Skolen	skolet+V+IV+Actio+Nom
Skolen	skolet+V+IV+Ind+Prt+ConNeg

searválaga	searválaga+Adv

seammalágan	seammalágan+v1+A+Attr
seammalágan	seammalágan+v1+A+Sg+Nom
seammalágan	seammalágan+v1+A+Sg+Acc
seammalágan	seammalágan+v1+A+Sg+Gen+Err/Orth

ruoktut	ruoktut+Adv

raportta	raporta+v1+N+Sg+Acc
raportta	raporta+v1+N+Sg+Gen

penšunistan	pensionista+Err/Orth+N+Ess

ođđaáigásaš	ođđaáigásaš+A+Sg+Nom
ođđaáigásaš	ođđaáigásaš+A+Attr

obalohkái	obalohkái+Adv

molsašuddi	molsašuddat+V+IV+PrsPrc
molsašuddi	molsašuddat+V+IV+Imprt+Du2
molsašuddi	molsašuddi+A+Attr
molsašuddi	molsašuddi+A+Sg+Acc
molsašuddi	molsašuddi+A+Sg+Gen
molsašuddi	molsašuddi+A+Sg+Nom

moddii	moddii+Adv

maŋás	maŋás+Adv

luohkkálaččat	luohkkálaš+A+Pl+Nom

lihccut	lihcat+V+IV+Imprt+Pl1
lihccut	lihccut+V+TV+Inf
lihccut	lihccut+V+TV+Imprt+Pl1
lihccut	lihccut+V+TV+Imprt+Pl2
lihccut	lihccut+V+TV+Ind+Prs+Pl1

leansmánni	leansmánni+N+G3+Sg+Acc
leansmánni	leansmánni+N+G3+Sg+Gen
leansmánni	leansmánni+N+G3+Sg+Nom

láhttet	láhttet+V+IV+Inf
láhttet	láhttet+V+IV+Ind+Prs+Pl1
láhttet	láhttet+V+IV+Ind+Prs+Sg2

guoros	guorus+A+Attr
guoros	guoros+A+Sg+Nom
guoros	guoros+A+Attr

giddagassii	giddagas+N+Sg+Ill

duiskalaš	duiskalaš+N+Sg+Nom
duiskalaš	duiskalaš+A+Sg+Nom
duiskalaš	duiskalaš+A+Attr

Duiskalaččat	duiskalaš+N+Pl+Nom
Duiskalaččat	duiskalaš+A+Pl+Nom

dáidet	dáidit+V+IV+Ind+Prs+Pl3
dáidet	dáidit+V+IV+Ind+Prt+Sg2

dáhtu	dáhttu+N+Sg+Acc
dáhtu	dáhttu+N+Sg+Gen
dáhtu	dáhttut+V+TV+VGen
dáhtu	dáhttut+V+TV+Ind+Prs+Err/Orth+ConNeg

dáhtto	dáhttut+V+TV+ConNegII
dáhtto	dáhttut+V+TV+Ind+Prs+Du1
dáhtto	dáhttut+V+TV+Ind+Prt+Pl3

čiegus	čiegus+A+Sg+Nom

badjeolbmot	badjeolmmoš+N+Pl+Nom

álfárot	álfárot+Adv

Solhov	Solhov+N+Prop+Sem/Sur+Sg+Acc
Solhov	Solhov+N+Prop+Sem/Sur+Sg+Gen
Solhov	Solhov+N+Prop+Sem/Sur+Sg+Nom
Solhov	Solhov+N+Prop+Sem/Plc+Sg+Acc
Solhov	Solhov+N+Prop+Sem/Plc+Sg+Gen
Solhov	Solhov+N+Prop+Sem/Plc+Sg+Nom

skolen	skolet+V+IV+PrfPrc
skolen	skolet+V+IV+Ind+Prs+Sg1
skolen	skolet+V+IV+Actio+Gen
skolen	skolet+V+IV+Actio+Nom
skolen	skolet+V+IV+Ind+Prt+ConNeg

siivvut	siivu+N+Pl+Nom
siivvut	siivvut+Adv

sierranas	sierranas+A+Attr

rehketdoalu	rehketdoallu+N+Sg+Acc
rehketdoalu	rehketdoallu+N+Sg+Gen

raporta	raporta+v1+N+Sg+Nom

ovddal	ovddal+Po
ovddal	ovddal+Adv

oallut	oallut+V+TV+Inf
oallut	oallut+V+TV+Imprt+Pl1
oallut	oallut+V+TV+Imprt+Pl2
oallut	oallut+V+TV+Ind+Prs+Pl1

nasisttalaš	nasisttalaš+A+Sg+Nom
nasisttalaš	nasisttalaš+A+Attr

minsttarplána	minsttarplána+N+Sg+Nom
minsttarplána	minsttarplána+N+Sg+Acc
minsttarplána	minsttarplána+N+Sg+Gen

mátkkoštii	mátkkoštit+V+IV+Ind+Prt+Sg3

máhccen	máhccat+V+IV+Ind+Prt+Sg1

luohttit	luohttit+V+IV+Inf
luohttit	luohttit+V+IV+Imprt+Pl2
luohttit	luohttit+V+IV+Ind+Prs+Pl1

lulábealde	lulábealde+Po
lulábealde	lulábealde+Pr
lulábealde	lulábealde+Adv

láigohit	láigohit+V+TV+Inf
láigohit	láigohit+V+TV+Ind+Prs+Pl1
láigohit	láigohit+V+TV+Ind+Prs+Pl3
láigohit	láigohit+V+TV+Ind+Prt+Sg2

lahkosis	lahkosis+Adv

Haksui	haksu+N+Sg+Ill
Haksui	haksot+V+IV+Ind+Prt+Sg3

guovttegielalaš	guovttegielalaš+A+Sg+Nom
guovttegielalaš	guovttegielalaš+A+Attr

gilvalit	gilvalit+V+IV+Inf
gilvalit	gilvalit+V+IV+Ind+Prt+Sg2
gilvalit	gilvalit+V+IV+Ind+Prs+Pl1
gilvalit	gilvalit+V+IV+Ind+Prs+Pl3

fuola	fuolla+N+Sg+Acc
fuola	fuolla+N+Sg+Gen
fuola	fuollat+V+TV+VGen
fuola	fuollat+V+TV+Imprt+ConNeg
fuola	fuollat+V+TV+Imprt+Sg2
fuola	fuollat+V+TV+Ind+Prs+ConNeg

feaskáris	feaskkir+N+Sg+Loc

feara	fearrat+V+TV+VGen
feara	fearrat+V+TV+Imprt+ConNeg
feara	fearrat+V+TV+Imprt+Sg2
feara	fearrat+V+TV+Ind+Prs+ConNeg
feara	feara+Adv

earalágan	earálágan+Err/Orth+Adv
earalágan	earálágan+Err/Orth+A+Attr
